,Category_x,Secondary,Year,NOM,GLOBES WIN_x,Category_y,Additional Info,OSCARS CAT_y,OSCARS WIN_y
0,Best Motion Picture - Drama,,1980,Kramer vs. Kramer,Winner,Best Picture,"Stanley R. Jaffe, Producer",Best Picture,YES
1,Best Motion Picture - Drama,,1980,Norma Rae,Nominee,Best Picture,"Tamara Asseyev and Alex Rose, Producers",Best Picture,NO
2,Best Motion Picture - Drama,,1980,Apocalypse Now,Nominee,Best Picture,"Francis Coppola, Producer; Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers",Best Picture,NO
3,Best Motion Picture - Musical or Comedy,,1980,Breaking Away,Winner,Best Picture,"Peter Yates, Producer",Best Picture,NO
4,Best Performance by an Actress in a Motion Picture - Drama,Norma Rae,1980,Sally Field,Winner,Actress -- Leading Role,Norma Rae {'Norma Rae'},Actress -- Leading Role,YES
5,Best Performance by an Actress in a Motion Picture - Drama,Luna,1980,Jill Clayburgh,Nominee,Actress -- Leading Role,Starting Over {'Marilyn Homberg'},Actress -- Leading Role,NO
6,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Starting Over,1980,Jill Clayburgh,Nominee,Actress -- Leading Role,Starting Over {'Marilyn Homberg'},Actress -- Leading Role,NO
7,Best Performance by an Actress in a Motion Picture - Drama,"China Syndrome, The",1980,Jane Fonda,Nominee,Actress -- Leading Role,The China Syndrome {'Kimberly Wells'},Actress -- Leading Role,NO
8,Best Performance by an Actress in a Motion Picture - Drama,Promises In The Dark,1980,Marsha Mason,Nominee,Actress -- Leading Role,Chapter Two {'Jennie MacLaine'},Actress -- Leading Role,NO
9,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Chapter Two,1980,Marsha Mason,Nominee,Actress -- Leading Role,Chapter Two {'Jennie MacLaine'},Actress -- Leading Role,NO
10,Best Performance by an Actor in a Motion Picture - Drama,Kramer vs. Kramer,1980,Dustin Hoffman,Winner,Actor -- Leading Role,Kramer vs. Kramer {'Ted Kramer'},Actor -- Leading Role,YES
11,Best Performance by an Actor in a Motion Picture - Drama,"China Syndrome, The",1980,Jack Lemmon,Nominee,Actor -- Leading Role,The China Syndrome {'Jack Godell'},Actor -- Leading Role,NO
12,Best Performance by an Actor in a Motion Picture - Drama,And Justice For All,1980,Al Pacino,Nominee,Actor -- Leading Role,...And Justice for All {'Arthur Kirkland'},Actor -- Leading Role,NO
13,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Rose, The",1980,Bette Midler,Winner,Actress -- Leading Role,The Rose {'Rose'},Actress -- Leading Role,NO
14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Being There,1980,Peter Sellers,Winner,Actor -- Leading Role,"Being There {'John Chance, the gardener (aka Chauncey Gardiner)'}",Actor -- Leading Role,NO
15,Best Performance by an Actor in a Motion Picture - Musical or Comedy,All That Jazz,1980,Roy Scheider,Nominee,Actor -- Leading Role,All That Jazz {'Joe Gideon'},Actor -- Leading Role,NO
16,Best Director - Motion Picture,Kramer vs. Kramer,1980,Robert Benton,Nominee,Directing,Robert Benton,Directing,YES
17,Best Director - Motion Picture,Breaking Away,1980,Peter Yates,Nominee,Directing,Peter Yates,Directing,NO
18,Best Motion Picture - Drama,,1981,Ordinary People,Winner,Best Picture,"Ronald L. Schwary, Producer",Best Picture,YES
19,Best Motion Picture - Drama,,1981,Raging Bull,Nominee,Best Picture,"Irwin Winkler and Robert Chartoff, Producers",Best Picture,NO
20,Best Motion Picture - Drama,,1981,The Elephant Man,Nominee,Best Picture,"Jonathan Sanger, Producer",Best Picture,NO
21,Best Motion Picture - Musical or Comedy,,1981,Coal Miner's Daughter,Winner,Best Picture,"Bernard Schwartz, Producer",Best Picture,NO
22,Best Performance by an Actress in a Motion Picture - Drama,Ordinary People,1981,Mary Tyler Moore,Winner,Actress -- Leading Role,Ordinary People {'Beth Jarrett'},Actress -- Leading Role,NO
23,Best Performance by an Actress in a Motion Picture - Drama,Resurrection,1981,Ellen Burstyn,Nominee,Actress -- Leading Role,Resurrection {'Edna May'},Actress -- Leading Role,NO
24,Best Performance by an Actress in a Motion Picture - Drama,Gloria,1981,Gena Rowlands,Nominee,Actress -- Leading Role,Gloria {'Gloria Swenson'},Actress -- Leading Role,NO
25,Best Performance by an Actor in a Motion Picture - Drama,Raging Bull,1981,Robert De Niro,Winner,Actor -- Leading Role,Raging Bull {'Jake LaMotta'},Actor -- Leading Role,YES
26,Best Performance by an Actor in a Motion Picture - Drama,"Elephant Man, The",1981,John Hurt,Nominee,Actor -- Leading Role,The Elephant Man {'John Merrick'},Actor -- Leading Role,NO
27,Best Performance by an Actor in a Motion Picture - Drama,Tribute,1981,Jack Lemmon,Nominee,Actor -- Leading Role,Tribute {'Scottie Templeton'},Actor -- Leading Role,NO
28,Best Performance by an Actor in a Motion Picture - Drama,"Stunt Man, The",1981,Peter O'Toole,Nominee,Actor -- Leading Role,The Stunt Man {'Eli Cross'},Actor -- Leading Role,NO
29,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Coal Miner's Daughter,1981,Sissy Spacek,Winner,Actress -- Leading Role,Coal Miner's Daughter {'Loretta Lynn'},Actress -- Leading Role,YES
30,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Private Benjamin,1981,Goldie Hawn,Nominee,Actress -- Leading Role,Private Benjamin {'Judy Benjamin'},Actress -- Leading Role,NO
31,Best Director - Motion Picture,Ordinary People,1981,Robert Redford,Winner,Directing,Robert Redford,Directing,YES
32,Best Director - Motion Picture,"Elephant Man, The",1981,David Lynch,Nominee,Directing,David Lynch,Directing,NO
33,Best Director - Motion Picture,Tess,1981,Roman Polanski,Nominee,Directing,Roman Polanski,Directing,NO
34,Best Director - Motion Picture,"Stunt Man, The",1981,Richard Rush,Nominee,Directing,Richard Rush,Directing,NO
35,Best Director - Motion Picture,Raging Bull,1981,Martin Scorsese,Nominee,Directing,Martin Scorsese,Directing,NO
36,Best Motion Picture - Foreign Language,United Kingdom,1981,Tess,Winner,Best Picture,"Claude Berri, Producer; Timothy Burrill, Co-Producer",Best Picture,NO
37,Best Motion Picture - Drama,,1982,On Golden Pond,Winner,Best Picture,"Bruce Gilbert, Producer",Best Picture,NO
38,Best Motion Picture - Drama,,1982,Reds,Nominee,Best Picture,"Warren Beatty, Producer",Best Picture,NO
39,Best Performance by an Actress in a Motion Picture - Drama,"French Lieutenant's Woman, The",1982,Meryl Streep,Winner,Actress -- Leading Role,The French Lieutenant's Woman {'Sara Woodruff/Anna'},Actress -- Leading Role,NO
40,Best Performance by an Actress in a Motion Picture - Drama,On Golden Pond,1982,Katharine Hepburn,Nominee,Actress -- Leading Role,On Golden Pond {'Ethel Thayer'},Actress -- Leading Role,YES
41,Best Performance by an Actress in a Motion Picture - Drama,Reds,1982,Diane Keaton,Nominee,Actress -- Leading Role,Reds {'Louise Bryant'},Actress -- Leading Role,NO
42,Best Performance by an Actor in a Motion Picture - Drama,On Golden Pond,1982,Henry Fonda,Winner,Actor -- Leading Role,"On Golden Pond {'Norman Thayer, Jr.'}",Actor -- Leading Role,YES
43,Best Performance by an Actor in a Motion Picture - Drama,Reds,1982,Warren Beatty,Nominee,Actor -- Leading Role,Reds {'John 'Jack' Reed'},Actor -- Leading Role,NO
44,Best Performance by an Actor in a Motion Picture - Drama,Reds,1982,Warren Beatty,Nominee,Directing,Warren Beatty,Directing,YES
45,Best Director - Motion Picture,Reds,1982,Warren Beatty,Winner,Actor -- Leading Role,Reds {'John 'Jack' Reed'},Actor -- Leading Role,NO
46,Best Director - Motion Picture,Reds,1982,Warren Beatty,Winner,Directing,Warren Beatty,Directing,YES
47,Best Performance by an Actor in a Motion Picture - Drama,Atlantic City,1982,Burt Lancaster,Nominee,Actor -- Leading Role,Atlantic City {'Lou'},Actor -- Leading Role,NO
48,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Arthur,1982,Dudley Moore,Winner,Actor -- Leading Role,Arthur {'Arthur Bach'},Actor -- Leading Role,NO
49,Best Director - Motion Picture,Atlantic City,1982,Louis Malle,Nominee,Directing,Louis Malle,Directing,NO
50,Best Director - Motion Picture,On Golden Pond,1982,Mark Rydell,Nominee,Directing,Mark Rydell,Directing,NO
51,Best Director - Motion Picture,Raiders of the Lost Ark,1982,Steven Spielberg,Nominee,Directing,Steven Spielberg,Directing,NO
